ID;Collecting.time;Longitude;Latitude
Bird_1;2024-05-31T00:00:30Z;-6.2280696;36.5402592
Bird_1;2024-05-31T02:00:02Z;-6.2280644;36.5402336
Bird_1;2024-05-31T04:00:30Z;-6.2278584;36.5402496
Bird_1;2024-05-31T06:00:09Z;-6.2280116;36.5402144
Bird_1;2024-05-31T07:50:31Z;-6.2307872;36.529296
Bird_1;2024-05-31T08:00:04Z;-6.230842;36.5291168
Bird_1;2024-05-31T08:10:02Z;-6.2309724;36.534608
Bird_1;2024-05-31T08:11:05Z;-6.2283128;36.5400288
Bird_1;2024-05-31T08:12:05Z;-6.2283784;36.5403872
Bird_1;2024-05-31T08:13:04Z;-6.227664;36.5401728
Bird_1;2024-05-31T08:14:04Z;-6.2286724;36.5398016
Bird_1;2024-05-31T08:15:04Z;-6.228676;36.5397024
Bird_1;2024-05-31T08:16:06Z;-6.2286576;36.5397376
Bird_1;2024-05-31T08:18:04Z;-6.230202;36.5355488
Bird_1;2024-05-31T08:20:03Z;-6.2306404;36.5341024
Bird_1;2024-05-31T08:21:05Z;-6.2305388;36.5342208
Bird_1;2024-05-31T08:22:04Z;-6.2311024;36.531536
Bird_1;2024-05-31T08:23:04Z;-6.2310856;36.5314496
Bird_1;2024-05-31T08:24:03Z;-6.2312268;36.5314528
Bird_1;2024-05-31T08:25:04Z;-6.2309192;36.531104
Bird_1;2024-05-31T08:26:04Z;-6.2342208;36.5304256
Bird_1;2024-05-31T08:27:04Z;-6.2391612;36.5316416
Bird_1;2024-05-31T08:28:04Z;-6.2445324;36.5321664
Bird_1;2024-05-31T08:29:04Z;-6.2498932;36.5326336
Bird_1;2024-05-31T08:30:03Z;-6.254378;36.5316192
Bird_1;2024-05-31T08:31:04Z;-6.2579804;36.5292768
Bird_1;2024-05-31T08:32:03Z;-6.2587752;36.5266688
Bird_1;2024-05-31T08:33:05Z;-6.2581648;36.5235552
Bird_1;2024-05-31T08:34:04Z;-6.2561348;36.5208544
Bird_1;2024-05-31T08:35:03Z;-6.255168;36.5176224
Bird_1;2024-05-31T08:36:04Z;-6.258526;36.515408
Bird_1;2024-05-31T08:37:04Z;-6.2612976;36.515536
Bird_1;2024-05-31T08:38:03Z;-6.2598352;36.5144352
Bird_1;2024-05-31T08:39:04Z;-6.2613808;36.5118784
Bird_1;2024-05-31T08:40:04Z;-6.2637356;36.5121408
Bird_1;2024-05-31T08:41:04Z;-6.2663048;36.5140448
Bird_1;2024-05-31T08:42:03Z;-6.2664304;36.51464
Bird_1;2024-05-31T08:43:06Z;-6.2664428;36.5146784
Bird_1;2024-05-31T08:44:04Z;-6.2662508;36.5149728
Bird_1;2024-05-31T08:45:04Z;-6.2651356;36.5150304
Bird_1;2024-05-31T08:46:03Z;-6.2625488;36.5136416
Bird_1;2024-05-31T08:47:04Z;-6.2644736;36.5166496
Bird_1;2024-05-31T08:48:04Z;-6.2630392;36.5203712
Bird_1;2024-05-31T08:49:03Z;-6.2625336;36.5259936
Bird_1;2024-05-31T08:50:04Z;-6.2674688;36.5278784
Bird_1;2024-05-31T08:51:04Z;-6.2702752;36.52616
Bird_1;2024-05-31T08:52:03Z;-6.272576;36.5247296
Bird_1;2024-05-31T08:53:04Z;-6.27103;36.5218016
Bird_1;2024-05-31T08:54:03Z;-6.2672828;36.5185344
Bird_1;2024-05-31T08:55:05Z;-6.2647056;36.515888
Bird_1;2024-05-31T08:56:03Z;-6.2664724;36.5148288
Bird_1;2024-05-31T08:57:04Z;-6.2669624;36.5148608
Bird_1;2024-05-31T08:58:04Z;-6.2655212;36.5148416
Bird_1;2024-05-31T08:59:04Z;-6.2656536;36.5147488
Bird_1;2024-05-31T09:00:03Z;-6.2661828;36.5146304
Bird_1;2024-05-31T09:01:04Z;-6.2658416;36.5148352
Bird_1;2024-05-31T09:02:03Z;-6.265266;36.5149216
Bird_1;2024-05-31T09:03:04Z;-6.2639952;36.5148224
Bird_1;2024-05-31T09:04:03Z;-6.2642592;36.5146336
Bird_1;2024-05-31T09:05:04Z;-6.2640028;36.514736
Bird_1;2024-05-31T09:06:05Z;-6.264006;36.5139872
Bird_1;2024-05-31T09:07:04Z;-6.2656488;36.5152512
Bird_1;2024-05-31T09:08:04Z;-6.2661256;36.5156864
Bird_1;2024-05-31T09:09:04Z;-6.2644696;36.5148544
Bird_1;2024-05-31T09:10:04Z;-6.264218;36.5155456
Bird_1;2024-05-31T09:11:03Z;-6.2650652;36.5152576
Bird_1;2024-05-31T09:12:04Z;-6.2593388;36.5153472
Bird_1;2024-05-31T09:13:03Z;-6.253698;36.5167264
Bird_1;2024-05-31T09:14:04Z;-6.2518524;36.5177472
Bird_1;2024-05-31T09:15:03Z;-6.251296;36.5174592
Bird_1;2024-05-31T09:16:04Z;-6.2509184;36.5179072
Bird_1;2024-05-31T09:17:04Z;-6.2514752;36.5176352
Bird_1;2024-05-31T09:18:03Z;-6.251842;36.5185056
Bird_1;2024-05-31T09:19:03Z;-6.2503556;36.5176352
Bird_1;2024-05-31T09:20:04Z;-6.2496948;36.5172576
Bird_1;2024-05-31T09:21:02Z;-6.2490328;36.5173216
Bird_1;2024-05-31T09:22:04Z;-6.2499236;36.5172256
Bird_1;2024-05-31T09:23:04Z;-6.24765;36.5181952
Bird_1;2024-05-31T09:24:04Z;-6.2427816;36.5241664
Bird_1;2024-05-31T09:25:04Z;-6.2353296;36.5287104
Bird_1;2024-05-31T09:26:04Z;-6.230862;36.5289536
Bird_1;2024-05-31T09:27:04Z;-6.2308408;36.5289696
Bird_1;2024-05-31T09:28:04Z;-6.230832;36.5289568
Bird_1;2024-05-31T09:29:03Z;-6.2308388;36.5290112
Bird_1;2024-05-31T09:30:04Z;-6.2308436;36.528976
Bird_1;2024-05-31T09:32:03Z;-6.230828;36.5289696
Bird_1;2024-05-31T09:33:04Z;-6.2308512;36.5289792
Bird_1;2024-05-31T09:34:02Z;-6.2308756;36.5289568
Bird_1;2024-05-31T09:35:03Z;-6.2308176;36.5289952
Bird_1;2024-05-31T09:36:04Z;-6.2308356;36.5289728
Bird_1;2024-05-31T09:37:03Z;-6.2308928;36.528992
Bird_1;2024-05-31T09:38:04Z;-6.2308;36.5289792
Bird_1;2024-05-31T09:39:04Z;-6.230844;36.5289728
Bird_1;2024-05-31T09:40:03Z;-6.2307936;36.5290112
Bird_1;2024-05-31T09:42:04Z;-6.230854;36.528976
Bird_1;2024-05-31T09:43:04Z;-6.2308792;36.528992
Bird_1;2024-05-31T09:44:03Z;-6.2311384;36.529504
Bird_1;2024-05-31T09:46:04Z;-6.2310476;36.5295328
Bird_1;2024-05-31T09:48:04Z;-6.2310912;36.5295296
Bird_1;2024-05-31T09:50:07Z;-6.2310724;36.5295296
Bird_1;2024-05-31T09:51:04Z;-6.231044;36.5295424
Bird_1;2024-05-31T09:52:04Z;-6.2311324;36.5295456
Bird_1;2024-05-31T09:53:04Z;-6.2310664;36.5295232
Bird_1;2024-05-31T09:54:04Z;-6.2310948;36.529488
Bird_1;2024-05-31T09:55:04Z;-6.231042;36.5294464
Bird_1;2024-05-31T09:56:05Z;-6.23101;36.5294464
Bird_1;2024-05-31T09:57:05Z;-6.2310492;36.5294336
Bird_1;2024-05-31T09:58:03Z;-6.231008;36.5294464
Bird_1;2024-05-31T09:59:04Z;-6.2311848;36.5293728
Bird_1;2024-05-31T10:00:30Z;-6.2310492;36.5292736
Bird_1;2024-05-31T10:01:04Z;-6.2310372;36.5292864
Bird_1;2024-05-31T10:02:03Z;-6.2310696;36.5292736
Bird_1;2024-05-31T10:04:08Z;-6.2311188;36.5291936
Bird_1;2024-05-31T10:06:04Z;-6.2311088;36.5294784
Bird_1;2024-05-31T10:07:04Z;-6.2310112;36.5291456
Bird_1;2024-05-31T10:08:03Z;-6.2309304;36.5291936
Bird_1;2024-05-31T10:09:04Z;-6.230944;36.5291712
Bird_1;2024-05-31T10:10:03Z;-6.2310268;36.5291552
Bird_1;2024-05-31T10:12:03Z;-6.2310284;36.5291392
Bird_1;2024-05-31T10:13:04Z;-6.2309572;36.5291648
Bird_1;2024-05-31T10:14:04Z;-6.2309788;36.5291488
Bird_1;2024-05-31T10:15:03Z;-6.230996;36.5291328
Bird_1;2024-05-31T10:16:04Z;-6.2310396;36.5291136
Bird_1;2024-05-31T10:17:02Z;-6.2310812;36.5293344
Bird_1;2024-05-31T10:18:04Z;-6.2309216;36.5287968
Bird_1;2024-05-31T10:19:04Z;-6.2309;36.5288608
Bird_1;2024-05-31T10:20:04Z;-6.2308604;36.528832
Bird_1;2024-05-31T10:21:06Z;-6.2308936;36.5288192
Bird_1;2024-05-31T10:22:07Z;-6.230874;36.5287968
Bird_1;2024-05-31T10:23:05Z;-6.230842;36.5288288
Bird_1;2024-05-31T10:24:04Z;-6.2307404;36.52856
Bird_1;2024-05-31T10:25:03Z;-6.2316588;36.5320384
Bird_1;2024-05-31T10:26:04Z;-6.2311212;36.5327072
Bird_1;2024-05-31T10:27:03Z;-6.2290324;36.5384928
Bird_1;2024-05-31T10:28:05Z;-6.2280392;36.5402784
Bird_1;2024-05-31T10:29:05Z;-6.228062;36.5402336
Bird_1;2024-05-31T10:30:05Z;-6.2280892;36.540288
Bird_1;2024-05-31T10:31:05Z;-6.2281052;36.5402144
Bird_1;2024-05-31T10:32:05Z;-6.2280448;36.5402272
Bird_1;2024-05-31T10:34:05Z;-6.2280608;36.540256
Bird_1;2024-05-31T10:36:04Z;-6.228088;36.5402464
Bird_1;2024-05-31T10:38:04Z;-6.228072;36.5402336
Bird_1;2024-05-31T10:40:05Z;-6.2280304;36.54032
Bird_1;2024-05-31T10:42:05Z;-6.2280368;36.5402976
Bird_1;2024-05-31T10:44:06Z;-6.2280616;36.5402528
Bird_1;2024-05-31T10:46:05Z;-6.2280368;36.540288
Bird_1;2024-05-31T10:48:06Z;-6.2280212;36.540288
Bird_1;2024-05-31T10:50:31Z;-6.2280516;36.5402752
Bird_1;2024-05-31T10:51:03Z;-6.228056;36.5402496
Bird_1;2024-05-31T10:52:04Z;-6.2280272;36.5402304
Bird_1;2024-05-31T10:54:03Z;-6.2280344;36.5402304
Bird_1;2024-05-31T10:56:03Z;-6.2280864;36.5402272
Bird_1;2024-05-31T10:58:03Z;-6.2280292;36.5402592
Bird_1;2024-05-31T11:00:03Z;-6.228028;36.5403008
Bird_1;2024-05-31T11:02:03Z;-6.2280688;36.540256
Bird_1;2024-05-31T11:04:03Z;-6.2280584;36.5402368
Bird_1;2024-05-31T11:06:03Z;-6.2280528;36.540256
Bird_1;2024-05-31T11:07:03Z;-6.228062;36.540288
Bird_1;2024-05-31T11:08:04Z;-6.228058;36.5403872
Bird_1;2024-05-31T11:09:04Z;-6.2280324;36.5403296
Bird_1;2024-05-31T11:10:04Z;-6.2280216;36.5402944
Bird_1;2024-05-31T11:11:05Z;-6.2280512;36.540256
Bird_1;2024-05-31T11:12:04Z;-6.228068;36.5403072
Bird_1;2024-05-31T11:13:04Z;-6.2280568;36.5402496
Bird_1;2024-05-31T11:14:04Z;-6.2280144;36.5402976
Bird_1;2024-05-31T11:15:04Z;-6.2280456;36.5403712
Bird_1;2024-05-31T11:16:03Z;-6.2280596;36.5402656
Bird_1;2024-05-31T11:17:03Z;-6.228058;36.5402784
Bird_1;2024-05-31T11:18:04Z;-6.2280868;36.5402912
Bird_1;2024-05-31T11:19:03Z;-6.2280616;36.5402656
Bird_1;2024-05-31T11:20:03Z;-6.2280324;36.540288
Bird_1;2024-05-31T11:21:04Z;-6.2280636;36.5403072
Bird_1;2024-05-31T11:22:04Z;-6.2280248;36.5402752
Bird_1;2024-05-31T11:23:03Z;-6.2280856;36.5402944
Bird_1;2024-05-31T11:24:03Z;-6.2285048;36.5408864
Bird_1;2024-05-31T11:25:03Z;-6.2284812;36.5409408
Bird_1;2024-05-31T11:26:03Z;-6.2282496;36.5410304
Bird_1;2024-05-31T11:27:03Z;-6.230364;36.5405888
Bird_1;2024-05-31T11:28:04Z;-6.2349404;36.5389568
Bird_1;2024-05-31T11:29:04Z;-6.2388572;36.5369344
Bird_1;2024-05-31T11:30:04Z;-6.243442;36.535328
Bird_1;2024-05-31T11:31:04Z;-6.2480484;36.5336864
Bird_1;2024-05-31T11:32:04Z;-6.2527296;36.5320896
Bird_1;2024-05-31T11:33:04Z;-6.2568356;36.5304224
Bird_1;2024-05-31T11:34:04Z;-6.2590648;36.528096
Bird_1;2024-05-31T11:35:04Z;-6.2580752;36.525296
Bird_1;2024-05-31T11:36:04Z;-6.2572232;36.5228192
Bird_1;2024-05-31T11:37:03Z;-6.2564724;36.520608
Bird_1;2024-05-31T11:38:03Z;-6.254254;36.5187328
Bird_1;2024-05-31T11:39:04Z;-6.2529908;36.5167328
Bird_1;2024-05-31T11:40:03Z;-6.2510148;36.516192
Bird_1;2024-05-31T11:41:03Z;-6.2506976;36.5158336
Bird_1;2024-05-31T11:42:03Z;-6.2510124;36.5153056
Bird_1;2024-05-31T11:43:03Z;-6.2505592;36.5145568
Bird_1;2024-05-31T11:44:02Z;-6.2501944;36.5135392
Bird_1;2024-05-31T11:45:03Z;-6.2501596;36.513456
Bird_1;2024-05-31T11:46:03Z;-6.2497724;36.5129792
Bird_1;2024-05-31T11:47:03Z;-6.2502212;36.513744
Bird_1;2024-05-31T11:48:04Z;-6.2501804;36.5136064
Bird_1;2024-05-31T11:49:03Z;-6.2507372;36.5146368
Bird_1;2024-05-31T11:50:03Z;-6.25448;36.5187744
Bird_1;2024-05-31T11:51:03Z;-6.2567144;36.5272
Bird_1;2024-05-31T11:52:02Z;-6.2502688;36.5309152
Bird_1;2024-05-31T11:53:03Z;-6.242642;36.5319392
Bird_1;2024-05-31T11:54:03Z;-6.2364952;36.5314336
Bird_1;2024-05-31T11:55:04Z;-6.2314328;36.5308736
Bird_1;2024-05-31T11:56:03Z;-6.2314024;36.5308544
Bird_1;2024-05-31T11:57:03Z;-6.2314612;36.5307872
Bird_1;2024-05-31T11:58:03Z;-6.2314204;36.5308224
Bird_1;2024-05-31T11:59:03Z;-6.2314392;36.5308416
Bird_1;2024-05-31T12:00:03Z;-6.2314992;36.5309056
Bird_1;2024-05-31T12:01:03Z;-6.2314348;36.5308384
Bird_1;2024-05-31T12:02:02Z;-6.2314276;36.5308672
Bird_1;2024-05-31T12:03:03Z;-6.2314128;36.5308256
Bird_1;2024-05-31T12:04:03Z;-6.2314208;36.5308064
Bird_1;2024-05-31T12:05:03Z;-6.2314292;36.5308192
Bird_1;2024-05-31T12:06:03Z;-6.2314224;36.5308608
Bird_1;2024-05-31T12:07:03Z;-6.2314492;36.5308224
Bird_1;2024-05-31T12:08:02Z;-6.2312064;36.5346176
Bird_1;2024-05-31T12:09:04Z;-6.22957;36.5389696
Bird_1;2024-05-31T12:10:02Z;-6.2283388;36.540048
Bird_1;2024-05-31T12:11:03Z;-6.2280336;36.540288
Bird_1;2024-05-31T12:12:02Z;-6.228054;36.5402272
Bird_1;2024-05-31T12:13:03Z;-6.2280444;36.5402784
Bird_1;2024-05-31T12:14:02Z;-6.228062;36.5402944
Bird_1;2024-05-31T12:15:03Z;-6.2277316;36.5402464
Bird_1;2024-05-31T12:16:03Z;-6.2283712;36.5404448
Bird_1;2024-05-31T12:17:02Z;-6.2282824;36.5407104
Bird_1;2024-05-31T12:18:05Z;-6.2287124;36.5413728
Bird_1;2024-05-31T12:19:03Z;-6.2286712;36.5412672
Bird_1;2024-05-31T12:20:03Z;-6.2287076;36.5413888
Bird_1;2024-05-31T12:21:02Z;-6.228076;36.5402208
Bird_1;2024-05-31T12:22:03Z;-6.2280904;36.5402592
Bird_1;2024-05-31T12:23:03Z;-6.2280428;36.540288
Bird_1;2024-05-31T12:24:03Z;-6.2280244;36.5405184
Bird_1;2024-05-31T12:25:05Z;-6.2280532;36.5402592
Bird_1;2024-05-31T12:26:03Z;-6.228028;36.5403328
Bird_1;2024-05-31T12:27:03Z;-6.2279972;36.540288
Bird_1;2024-05-31T12:28:03Z;-6.2280716;36.5402496
Bird_1;2024-05-31T12:29:03Z;-6.2280432;36.54032
Bird_1;2024-05-31T12:30:03Z;-6.227996;36.5402304
Bird_1;2024-05-31T12:31:03Z;-6.2279948;36.5402848
Bird_1;2024-05-31T12:32:03Z;-6.2280496;36.540288
Bird_1;2024-05-31T12:33:03Z;-6.2280292;36.5402848
Bird_1;2024-05-31T12:34:02Z;-6.2280448;36.5402752
Bird_1;2024-05-31T12:35:03Z;-6.2280412;36.5402656
Bird_1;2024-05-31T12:36:02Z;-6.2280136;36.5402784
Bird_1;2024-05-31T12:37:03Z;-6.2280596;36.5402112
Bird_1;2024-05-31T12:38:03Z;-6.228074;36.5402528
Bird_1;2024-05-31T12:39:02Z;-6.2280048;36.5403072
Bird_1;2024-05-31T12:40:03Z;-6.2280836;36.5402528
Bird_1;2024-05-31T12:41:02Z;-6.2279616;36.5403552
Bird_1;2024-05-31T12:42:03Z;-6.2280616;36.5402752
Bird_1;2024-05-31T12:43:03Z;-6.2281008;36.5402176
Bird_1;2024-05-31T12:44:03Z;-6.2279876;36.5402976
Bird_1;2024-05-31T12:45:02Z;-6.227914;36.540336
Bird_1;2024-05-31T12:46:03Z;-6.2280196;36.5402784
Bird_1;2024-05-31T12:47:03Z;-6.2280464;36.5402688
Bird_1;2024-05-31T12:48:03Z;-6.2280496;36.5402592
Bird_1;2024-05-31T12:49:03Z;-6.228032;36.5402592
Bird_1;2024-05-31T12:50:03Z;-6.228096;36.5402272
Bird_1;2024-05-31T12:51:03Z;-6.2280816;36.540272
Bird_1;2024-05-31T12:52:03Z;-6.2279772;36.540288
Bird_1;2024-05-31T12:53:03Z;-6.228118;36.5402304
Bird_1;2024-05-31T12:54:03Z;-6.22802;36.5402656
Bird_1;2024-05-31T12:55:03Z;-6.2279464;36.5403168
Bird_1;2024-05-31T12:56:02Z;-6.2280284;36.5402848
Bird_1;2024-05-31T12:57:03Z;-6.2289632;36.54016
Bird_1;2024-05-31T12:58:03Z;-6.2280528;36.5402368
Bird_1;2024-05-31T12:59:03Z;-6.2279648;36.5403072
Bird_1;2024-05-31T13:00:03Z;-6.2280572;36.54024
Bird_1;2024-05-31T13:01:03Z;-6.2280308;36.5402464
Bird_1;2024-05-31T13:02:03Z;-6.2279688;36.5403456
Bird_1;2024-05-31T13:03:04Z;-6.228004;36.5402752
Bird_1;2024-05-31T13:04:03Z;-6.2279912;36.5402848
Bird_1;2024-05-31T13:05:03Z;-6.2280356;36.540288
Bird_1;2024-05-31T13:06:02Z;-6.2280776;36.5402688
Bird_1;2024-05-31T13:07:04Z;-6.2279828;36.5403168
Bird_1;2024-05-31T13:08:03Z;-6.2281356;36.5402112
Bird_1;2024-05-31T13:09:03Z;-6.2279796;36.5403168
Bird_1;2024-05-31T13:10:03Z;-6.2279524;36.5402944
Bird_1;2024-05-31T13:11:03Z;-6.22798;36.54032
Bird_1;2024-05-31T13:12:03Z;-6.227908;36.540352
Bird_1;2024-05-31T13:13:03Z;-6.22794;36.5402976
Bird_1;2024-05-31T13:14:03Z;-6.2279368;36.5403168
Bird_1;2024-05-31T13:15:28Z;-6.2280172;36.5402752
Bird_1;2024-05-31T13:16:28Z;-6.228042;36.5402752
Bird_1;2024-05-31T13:17:27Z;-6.2280056;36.5402752
Bird_1;2024-05-31T13:18:28Z;-6.2280316;36.5402688
Bird_1;2024-05-31T13:20:28Z;-6.2280168;36.540256
Bird_1;2024-05-31T13:30:28Z;-6.2279372;36.5402528
Bird_1;2024-05-31T13:32:28Z;-6.229334;36.5403648
Bird_1;2024-05-31T13:38:29Z;-6.2289952;36.5405184
Bird_1;2024-05-31T13:40:29Z;-6.2289816;36.5405344
Bird_1;2024-05-31T13:50:29Z;-6.2288052;36.5403328
Bird_1;2024-05-31T13:51:29Z;-6.2287964;36.5403296
Bird_1;2024-05-31T13:52:29Z;-6.2294192;36.540096
Bird_1;2024-05-31T13:53:28Z;-6.2294424;36.5400864
Bird_1;2024-05-31T14:00:30Z;-6.2294888;36.5400224
Bird_1;2024-05-31T14:06:02Z;-6.2281308;36.541648
Bird_1;2024-05-31T14:08:00Z;-6.2294952;36.54
Bird_1;2024-05-31T14:10:02Z;-6.22954;36.54
Bird_1;2024-05-31T14:11:01Z;-6.2295264;36.5399712
Bird_1;2024-05-31T14:12:01Z;-6.2295088;36.5400512
Bird_1;2024-05-31T14:13:01Z;-6.2295012;36.5399968
Bird_1;2024-05-31T14:14:01Z;-6.2294168;36.539968
Bird_1;2024-05-31T14:15:03Z;-6.2295124;36.5400032
Bird_1;2024-05-31T14:16:02Z;-6.2292088;36.5400864
Bird_1;2024-05-31T14:17:02Z;-6.2280208;36.5402464
Bird_1;2024-05-31T14:18:03Z;-6.2280788;36.540272
Bird_1;2024-05-31T14:19:03Z;-6.2280616;36.540256
Bird_1;2024-05-31T14:20:03Z;-6.2280696;36.54024
Bird_1;2024-05-31T14:21:03Z;-6.2280436;36.5402688
Bird_1;2024-05-31T14:22:03Z;-6.2280408;36.540272
Bird_1;2024-05-31T14:23:02Z;-6.2281116;36.5402176
Bird_1;2024-05-31T14:24:02Z;-6.2280332;36.540256
Bird_1;2024-05-31T14:25:02Z;-6.2280788;36.540256
Bird_1;2024-05-31T14:26:02Z;-6.2281056;36.5401984
Bird_1;2024-05-31T14:27:03Z;-6.2280572;36.5402944
Bird_1;2024-05-31T14:28:03Z;-6.2280608;36.5402688
Bird_1;2024-05-31T14:29:01Z;-6.228182;36.5403712
Bird_1;2024-05-31T14:30:02Z;-6.2280216;36.540288
Bird_1;2024-05-31T14:31:02Z;-6.2281148;36.5402464
Bird_1;2024-05-31T14:32:03Z;-6.2280284;36.5402656
Bird_1;2024-05-31T14:33:03Z;-6.2281028;36.5402496
Bird_1;2024-05-31T14:34:03Z;-6.2280792;36.5402592
Bird_1;2024-05-31T14:35:02Z;-6.2280636;36.5402784
Bird_1;2024-05-31T14:36:02Z;-6.228068;36.5402688
Bird_1;2024-05-31T14:37:03Z;-6.228072;36.54024
Bird_1;2024-05-31T14:38:02Z;-6.2280764;36.5402368
Bird_1;2024-05-31T14:39:02Z;-6.2280664;36.5402464
Bird_1;2024-05-31T14:40:03Z;-6.2280812;36.5402656
Bird_1;2024-05-31T14:41:03Z;-6.228068;36.5402752
Bird_1;2024-05-31T14:42:03Z;-6.2280612;36.540256
Bird_1;2024-05-31T14:43:03Z;-6.2281008;36.5402688
Bird_1;2024-05-31T14:44:03Z;-6.228066;36.5402304
Bird_1;2024-05-31T14:45:03Z;-6.228078;36.5403648
Bird_1;2024-05-31T14:46:02Z;-6.2281148;36.540256
Bird_1;2024-05-31T14:47:02Z;-6.2280264;36.5402464
Bird_1;2024-05-31T14:48:02Z;-6.2279896;36.5402944
Bird_1;2024-05-31T14:49:02Z;-6.2281108;36.540176
Bird_1;2024-05-31T14:50:03Z;-6.2280628;36.540272
Bird_1;2024-05-31T14:51:02Z;-6.2280932;36.5402528
Bird_1;2024-05-31T14:52:02Z;-6.2280816;36.5402528
Bird_1;2024-05-31T14:53:03Z;-6.2280788;36.5402592
Bird_1;2024-05-31T14:54:03Z;-6.2280712;36.5402688
Bird_1;2024-05-31T14:55:03Z;-6.2280584;36.5402368
Bird_1;2024-05-31T14:56:03Z;-6.2280608;36.54024
Bird_1;2024-05-31T14:57:03Z;-6.228042;36.5402592
Bird_1;2024-05-31T14:58:03Z;-6.2280596;36.5403104
Bird_1;2024-05-31T14:59:02Z;-6.2280632;36.5402592
Bird_1;2024-05-31T15:00:03Z;-6.2280952;36.54024
Bird_1;2024-05-31T15:01:02Z;-6.2280952;36.5402496
Bird_1;2024-05-31T15:02:02Z;-6.2280528;36.5402688
Bird_1;2024-05-31T15:03:03Z;-6.228062;36.540256
Bird_1;2024-05-31T15:04:02Z;-6.2280628;36.5402368
Bird_1;2024-05-31T15:05:02Z;-6.2280592;36.5402592
Bird_1;2024-05-31T15:06:02Z;-6.228048;36.540256
Bird_1;2024-05-31T15:07:03Z;-6.228052;36.5403392
Bird_1;2024-05-31T15:08:03Z;-6.2280288;36.5402112
Bird_1;2024-05-31T15:09:02Z;-6.228062;36.5402592
Bird_1;2024-05-31T15:10:02Z;-6.228044;36.5402304
Bird_1;2024-05-31T15:11:03Z;-6.2281264;36.5403008
Bird_1;2024-05-31T15:12:01Z;-6.2280656;36.5402016
Bird_1;2024-05-31T15:13:03Z;-6.228066;36.540192
Bird_1;2024-05-31T15:14:02Z;-6.2280916;36.5402592
Bird_1;2024-05-31T15:15:02Z;-6.2280568;36.5402464
Bird_1;2024-05-31T15:16:01Z;-6.228056;36.5403008
Bird_1;2024-05-31T15:17:03Z;-6.2281;36.5401792
Bird_1;2024-05-31T15:18:03Z;-6.2280912;36.5403008
Bird_1;2024-05-31T15:19:02Z;-6.2280984;36.5402272
Bird_1;2024-05-31T15:20:02Z;-6.2280688;36.5402528
Bird_1;2024-05-31T15:21:03Z;-6.2280968;36.5402592
Bird_1;2024-05-31T15:22:02Z;-6.2280868;36.5403008
Bird_1;2024-05-31T15:23:02Z;-6.2280816;36.5402848
Bird_1;2024-05-31T15:24:02Z;-6.2281108;36.5402464
Bird_1;2024-05-31T15:25:02Z;-6.228066;36.5402848
Bird_1;2024-05-31T15:26:02Z;-6.2280668;36.5402784
Bird_1;2024-05-31T15:27:02Z;-6.2297028;36.5403872
Bird_1;2024-05-31T15:28:02Z;-6.2280672;36.5402752
Bird_1;2024-05-31T15:29:03Z;-6.2280556;36.540288
Bird_1;2024-05-31T15:30:02Z;-6.2280708;36.5402016
Bird_1;2024-05-31T15:31:02Z;-6.2280728;36.54024
Bird_1;2024-05-31T15:32:02Z;-6.2280636;36.5402944
Bird_1;2024-05-31T15:33:02Z;-6.2280768;36.5402784
Bird_1;2024-05-31T15:34:01Z;-6.2280532;36.5402752
Bird_1;2024-05-31T15:35:03Z;-6.2280728;36.5402464
Bird_1;2024-05-31T15:36:04Z;-6.2280832;36.5402496
Bird_1;2024-05-31T15:37:02Z;-6.2280616;36.5402464
Bird_1;2024-05-31T15:38:02Z;-6.2280628;36.5402656
Bird_1;2024-05-31T15:39:02Z;-6.2280556;36.5402848
Bird_1;2024-05-31T15:40:03Z;-6.2280692;36.5402688
Bird_1;2024-05-31T15:41:03Z;-6.2280296;36.5402688
Bird_1;2024-05-31T15:42:03Z;-6.2279876;36.5403712
Bird_1;2024-05-31T15:43:03Z;-6.2280984;36.5402528
Bird_1;2024-05-31T15:44:01Z;-6.2279696;36.5402368
Bird_1;2024-05-31T15:45:02Z;-6.2294448;36.5399968
Bird_1;2024-05-31T15:46:01Z;-6.2335464;36.5414016
Bird_1;2024-05-31T15:47:02Z;-6.243414;36.5442624
Bird_1;2024-05-31T15:48:02Z;-6.2513996;36.5435456
Bird_1;2024-05-31T15:49:03Z;-6.2567216;36.541152
Bird_1;2024-05-31T15:50:02Z;-6.2614588;36.54144
Bird_1;2024-05-31T15:51:01Z;-6.2622804;36.5385216
Bird_1;2024-05-31T15:52:02Z;-6.262572;36.5356896
Bird_1;2024-05-31T15:53:02Z;-6.260914;36.5338528
Bird_1;2024-05-31T15:54:01Z;-6.259204;36.5332608
Bird_1;2024-05-31T15:55:02Z;-6.257696;36.5331456
Bird_1;2024-05-31T15:56:02Z;-6.2582356;36.531616
Bird_1;2024-05-31T15:57:01Z;-6.259652;36.5287744
Bird_1;2024-05-31T15:58:02Z;-6.2588864;36.5256352
Bird_1;2024-05-31T15:59:01Z;-6.259914;36.5289504
Bird_1;2024-05-31T16:00:02Z;-6.258262;36.533456
Bird_1;2024-05-31T16:01:01Z;-6.2565032;36.5368608
Bird_1;2024-05-31T16:02:02Z;-6.2578144;36.5430944
Bird_1;2024-05-31T16:03:02Z;-6.2616528;36.550064
Bird_1;2024-05-31T16:04:02Z;-6.2660528;36.5574368
